PRODUCTO;Modelo ;Descripcion ;Proveedor ;;Quantity;Price USD
ID-00000001;BSX17;JUEGO DE TUBOS BAHCO 17P CON CRIQUE;ITURRIA S.A;BAHCO;1;1,32
ID-00000002;TM12;"TUBO ESTRIADO LARGO DE 1/2"" 12MM";ITURRIA S.A;BAHCO;2;0,72
ID-00000003;TM13;"TUBO ESTRIADO LARGO DE 1/2"" 13MM";ITURRIA S.A;BAHCO;0;0,72
ID-00000004;TM14;"TUBO ESTRIADO LARGO DE 1/2"" 14 MM";ITURRIA S.A;BAHCO;0;0,72
ID-00000005;TM15;"TUBO ESTRIADO LARGO DE 1/2"" 15 MM";ITURRIA S.A;BAHCO;1;0,36
ID-00000006;TM16;"TUBO ESTRIADO LARGO DE 1/2"" 16 MM";ITURRIA S.A;BAHCO;1;0,92
ID-00000007;TM17;"TUBO ESTRIADO LARGO DE 1/2"" 17 MM";ITURRIA S.A;BAHCO;0;0,92
ID-00000008;TM18;"TUBO ESTRIADO LARGO DE 1/2"" 18 MM";ITURRIA S.A;BAHCO;2;1,01
ID-00000009;TM19;"TUBO ESTRIADO LARGO DE 1/2"" 19 MM";ITURRIA S.A;BAHCO;0;1,01
ID-00000010;250100000;MOTOR A EXPLOSION DE 6.5HP ZONGSHEN;FIASA S.A.I.C Y F.;ZONGSHEN;0;1497,58
ID-00000011;250650002;GRUPO ELECTROGENO 6500 ZONGSHEN;FIASA S.A.I.C Y F.;ZONGSHEN;0;1497,58
ID-00000012;250101111;GRUPO ELECTROGENO 4000 ZONGSHEN;FIASA S.A.I.C Y F.;ZONGSHEN;1;1497,58
ID-00000013;S6;"TUBO HEXAGONAL DE 1/2"" 6 MM";ITURRIA S.A;BAHCO;9;5,09
ID-00000014;S10;"TUBO ESTRIADO  DE 1/2"" 10 MM";ITURRIA S.A;BAHCO;1;0,77
ID-00000015;S12;"TUBO ESTRIADO DE 1/2"" 12 MM";ITURRIA S.A;BAHCO;2;2,20
ID-00000016;S13;"TUBO ESTRIADO  DE 1/2"" 13 MM";ITURRIA S.A;BAHCO;0;2,20
ID-00000017;S14;"TUBO ESTRIADO  DE 1/2"" 14 MM";ITURRIA S.A;BAHCO;0;0,00
ID-00000018;S15;"TUBO ESTRIADO  DE 1/2"" 15 MM";ITURRIA S.A;BAHCO;1;1,98
ID-00000019;S17;"TUBO ESTRIADO  DE 1/2"" DE 17 MM";ITURRIA S.A;BAHCO;0;1,98
ID-00000020;S19;"TUBO ESTRIADO DE 1/2"" DE 19 MM";ITURRIA S.A;BAHCO;0;1,98
ID-00000021;SX12P;"TUBO HEXAGONAL  DE 1/2"" DE 1/2""";ITURRIA S.A;BAHCO;4;1,32
ID-00000022;S5/16;"TUBO HEXAGONAL  DE 1/2"" DE 5/16""";ITURRIA S.A;BAHCO;6;1,47
ID-00000023;;ANULAR;ITURRIA S.A;BAHCO;1;0,16
ID-00000024;SX11;"TUBO HEXAGONAL  DE 1/2"" DE 11 MM";ITURRIA S.A;BAHCO;3;1,27
ID-00000025;TS1658;"TUBO SACA BUJIA DE 1/2"" DE 16 MM / 5/8""";ITURRIA S.A;BAHCO;2;8,06
ID-00000026;TS2113/16;"TUBO SACA BUJIA DE 1/2"" DE 21 MM / 13/16";ITURRIA S.A;BAHCO;0;0,00
ID-00000027;S11/16;"TUBO ESTRIADO DE 1/2"" DE 11/16""";ITURRIA S.A;BAHCO;3;1,53
ID-00000028;S7;"TUBO HEXAGONAL DE 1/2"" DE 7 MM";ITURRIA S.A;BAHCO;5;2,73
ID-00000029;S8;"TUBO HEXAGONAL DE 1/2"" DE 8 MM";ITURRIA S.A;BAHCO;8;4,52
ID-00000030;S9;"TUBO HEXAGONAL DE 1/2"" DE 9 MM";ITURRIA S.A;BAHCO;7;3,93
ID-00000031;S11;"TUBO ESTRIADO DE 1/2"" DE 11 MM";ITURRIA S.A;BAHCO;4;19,06
ID-00000032;S16;"TUBO ESTRIADO DE 1/2"" DE 16 MM";ITURRIA S.A;BAHCO;2;1,23
ID-00000033;S18;"TUBO ESTRIADO DE 1/2"" DE 18 MM";ITURRIA S.A;BAHCO;2;1,51
ID-00000034;S20;"TUBO ESTRIADO DE 1/2"" DE 20 MM";ITURRIA S.A;BAHCO;1;0,82
ID-00000035;S21;"TUBO ESTRIADO DE 1/2"" DE 21 MM";ITURRIA S.A;BAHCO;1;3,30
ID-00000036;S22;"TUBO ESTRIADO DE 1/2"" DE 22 MM";ITURRIA S.A;BAHCO;2;6,55
ID-00000037;S23;"TUBO ESTRIADO DE 1/2"" DE 23 MM";ITURRIA S.A;BAHCO;0;0,00
ID-00000038;S24;"TUBO ESTRIADO DE 1/2"" DE 24 MM";ITURRIA S.A;BAHCO;0;0,00
ID-00000039;S25;"TUBO ESTRIADO DE 1/2"" DE 25 MM";ITURRIA S.A;BAHCO;1;1,10
ID-00000040;S26;"TUBO ESTRIADO DE 1/2"" DE 26 MM";ITURRIA S.A;BAHCO;1;2,08
ID-00000041;S27;"TUBO ESTRIADO DE 1/2"" DE 27 MM";ITURRIA S.A;BAHCO;1;1,22
ID-00000042;S28;"TUBO ESTRIADO DE 1/2"" DE 28 MM";ITURRIA S.A;BAHCO;1;1,24
ID-00000043;SX10;"TUBO HEXAGONAL DE 1/2"" DE 10 MM";ITURRIA S.A;BAHCO;3;1,26
ID-00000044;SX12;"TUBO HEXAGONAL DE 1/2"" DE 12 MM";ITURRIA S.A;BAHCO;5;3,94
ID-00000045;SX13;"TUBO HEXAGONAL DE 1/2"" DE 13 MM";ITURRIA S.A;BAHCO;4;1,64
ID-00000046;SX14;"TUBO HEXAGONAL DE 1/2"" DE 14 MM";ITURRIA S.A;BAHCO;1;0,42
ID-00000047;SX15;"TUBO HEXAGONAL DE 1/2"" DE 15 MM";ITURRIA S.A;BAHCO;3;2,16
ID-00000048;SX16;"TUBO HEXAGONAL DE 1/2"" DE 16 MM";ITURRIA S.A;BAHCO;3;1,38
ID-00000049;SX17;"TUBO HEXAGONAL DE 1/2"" DE 17 MM";ITURRIA S.A;BAHCO;1;1,19
ID-00000050;SX18;"TUBO HEXAGONAL DE 1/2"" DE 18 MM";ITURRIA S.A;BAHCO;3;2,55
ID-00000051;SX19;"TUBO HEXAGONAL DE 1/2"" DE 19 MM";ITURRIA S.A;BAHCO;2;5,70
ID-00000052;SX20;"TUBO HEXAGONAL DE 1/2"" DE 20 MM";ITURRIA S.A;BAHCO;3;1,84
ID-00000053;SX21;"TUBO HEXAGONAL DE 1/2"" DE 21 MM";ITURRIA S.A;BAHCO;3;1,84
ID-00000054;SX22;"TUBO HEXAGONAL DE 1/2"" DE 22 MM";ITURRIA S.A;BAHCO;3;1,84
ID-00000055;SX23;"TUBO HEXAGONAL DE 1/2"" DE 23 MM";ITURRIA S.A;BAHCO;3;1,99
ID-00000056;SX24;"TUBO HEXAGONAL DE 1/2"" DE 24 MM";ITURRIA S.A;BAHCO;1;14,55
ID-00000057;SX25;"TUBO HEXAGONAL DE 1/2"" DE 25 MM";ITURRIA S.A;BAHCO;3;1,40
ID-00000058;SX26;"TUBO HEXAGONAL DE 1/2"" DE 26 MM";ITURRIA S.A;BAHCO;3;1,40
ID-00000059;SX27;"TUBO HEXAGONAL DE 1/2"" DE 27 MM";ITURRIA S.A;BAHCO;1;3,33
ID-00000060;SX28;"TUBO HEXAGONAL DE 1/2"" DE 28 MM";ITURRIA S.A;BAHCO;2;1,06
ID-00000061;SX1/2;"TUBO HEXAGONAL DE 1/2"" DE 1/2""";ITURRIA S.A;BAHCO;5;1,22
ID-00000062;SX7/16;"TUBO HEXAGONAL DE 1/2"" DE 7/16""";ITURRIA S.A;BAHCO;3;0,71
ID-00000063;SX3/8;"TUBO HEXAGONAL DE 1/2"" DE 3/8""";ITURRIA S.A;BAHCO;4;1,99
ID-00000064;SX916;"TUBO HEXAGONAL DE 1/2"" DE 9/16""";ITURRIA S.A;BAHCO;4;1,01
ID-00000065;SX5/8;"TUBO HEXAGONAL DE 1/2"" DE 5/8""";ITURRIA S.A;BAHCO;3;0,78
ID-00000066;SX11/16;"TUBO HEXAGONAL DE 1/2"" DE 11/16""";ITURRIA S.A;BAHCO;3;0,86
ID-00000067;SX34P;"TUBO HEXAGONAL DE 1/2"" DE 3/4""";ITURRIA S.A;BAHCO;3;2,55
ID-00000068;SX13/16;"TUBO HEXAGONAL DE 1/2"" DE 13/16""";ITURRIA S.A;BAHCO;4;1,39
ID-00000069;SX7/8;"TUBO HEXAGONAL DE 1/2"" DE 7/8""";ITURRIA S.A;BAHCO;2;0,70
ID-00000070;SX15/16;"TUBO HEXAGONAL DE 1/2"" DE 15/16""";ITURRIA S.A;BAHCO;3;1,28
ID-00000071;SX1P;"TUBO HEXAGONAL DE 1/2"" DE 1""";ITURRIA S.A;BAHCO;3;1,40
ID-00000072;SX1 1/16;"TUBO HEXAGONAL DE 1/2"" DE 1 1/16""";ITURRIA S.A;BAHCO;3;1,56
ID-00000073;SX1 1/8;"TUBO HEXAGONAL DE 1/2"" DE 1 1/8""";ITURRIA S.A;BAHCO;3;1,64
ID-00000074;S5/8;"TUBO ESTRIADO DE 1/2"" DE 5/8""";ITURRIA S.A;BAHCO;2;0,92
ID-00000075;S1/4;"TUBO ESTRIADO DE 1/2"" DE 1/4""";ITURRIA S.A;BAHCO;0;0,00
ID-00000076;S34;"TUBO ESTRIADO DE 1/2"" DE 3/4""";PAPIERTTEI;BAHCO;2;3,93
ID-00000077;S7/16;"TUBO ESTRIADO DE 1/2"" DE 7/16""";ITURRIA S.A;BAHCO;2;1,00
ID-00000078;S916P;"TUBO ESTRIADO DE 1/2"" DE 9/16""";ITURRIA S.A;BAHCO;0;1,00
ID-00000079;S13/16;"TUBO ESTRIADO DE 1/2"" DE 13/16""";ITURRIA S.A;BAHCO;3;1,84
ID-00000080;S7/8;"TUBO ESTRIADO DE 1/2"" DE 7/8""";ITURRIA S.A;BAHCO;3;1,84
ID-00000081;S1 1/16;"TUBO ESTRIADO DE 1/2"" DE 1 1/16""";ITURRIA S.A;BAHCO;2;1,84
ID-00000082;S1 1/8;"TUBO ESTRIADO DE 1/2"" DE 1 1/8""";ITURRIA S.A;BAHCO;3;2,91
ID-00000083;S15/16;"TUBO ESTRIADO DE 1/2"" DE 15/16""";ITURRIA S.A;BAHCO;3;2,25
ID-00000084;S1P;"TUBO ESTRIADO DE 1/2"" DE 1""";ITURRIA S.A;BAHCO;3;2,48
ID-00000085;SH19;"TUBO ESTRIADO DE 3/4"" DE 19 MM";ITURRIA S.A;BAHCO;0;2,48
ID-00000086;SH21;"TUBO ESTRIADO DE 3/4"" DE 21 MM";ITURRIA S.A;BAHCO;2;43,05
ID-00000087;SH22;"TUBO ESTRIADO DE 3/4"" DE 22 MM";ITURRIA S.A;BAHCO;2;2,60
ID-00000088;SH23;"TUBO ESTRIADO DE 3/4"" DE 23 MM";ITURRIA S.A;BAHCO;2;2,60
ID-00000089;SH24;"TUBO ESTRIADO DE 3/4"" DE 24 MM";ITURRIA S.A;BAHCO;1;9,50
ID-00000090;SH27;"TUBO ESTRIADO DE 3/4"" DE 27 MM";ITURRIA S.A;BAHCO;1;2,49
ID-00000091;SH28;"TUBO ESTRIADO DE 3/4"" DE 28 MM";ITURRIA S.A;BAHCO;1;2,47
ID-00000092;SH30;"TUBO ESTRIADO DE 3/4"" DE 30 MM";ITURRIA S.A;BAHCO;1;7,34
ID-00000093;SH32;"TUBO ESTRIADO DE 3/4"" DE 32 MM";ITURRIA S.A;BAHCO;0;0,00
ID-00000094;SH33;"TUBO ESTRIADO DE 3/4"" DE 33MM";ITURRIA S.A;BAHCO;2;4,82
ID-00000095;SH34;"TUBO ESTRIADO DE 3/4"" DE 34 MM";ITURRIA S.A;BAHCO;1;45,57
ID-00000096;SH36;"TUBO ESTRIADO DE 3/4"" DE 36 MM";ITURRIA S.A;BAHCO;2;13,12
ID-00000097;SH37;"TUBO ESTRIADO DE 3/4"" DE 37 MM";ITURRIA S.A;BAHCO;1;7,10
ID-00000098;SH40;"TUBO ESTRIADO DE 3/4"" DE 40 MM";ITURRIA S.A;BAHCO;1;2,16
ID-00000099;SH41;"TUBO ESTRIADO DE 3/4"" DE 41 MM";ITURRIA S.A;BAHCO;1;2,05
ID-00000100;SH42;"TUBO ESTRIADO DE 3/4"" DE 42""";ITURRIA S.A;BAHCO;1;10,51
ID-00000101;SH46;"TUBO ESTRIADO DE 3/4"" DE 46 MM";ITURRIA S.A;BAHCO;1;3,39
ID-00000102;SH47;"TUBO ESTRIADO DE 3/4"" DE 47 MM";ITURRIA S.A;BAHCO;1;2,47
ID-00000103;SH50;"TUBO ESTRIADO DE 3/4"" DE 50 MM";ITURRIA S.A;BAHCO;1;2,70
ID-00000104;SH52;"TUBO ESTRIADO DE 3/4"" DE 52 MM";ITURRIA S.A;BAHCO;1;10,24
ID-00000105;SH54;"TUBO ESTRIADO DE 3/4"" DE 54 MM";ITURRIA S.A;BAHCO;1;3,36
ID-00000106;SH55;"TUBO ESTRIADO DE 3/4"" DE 55 MM";ITURRIA S.A;BAHCO;0;3,36
ID-00000107;SH56;"TUBO ESTRIADO DE 3/4"" DE 56 MM";ITURRIA S.A;BAHCO;1;16,92
ID-00000108;SH60;"TUBO ESTRIADO DE 3/4"" DE 60 MM";ITURRIA S.A;BAHCO;1;6,43
ID-00000109;SH15/16;"TUBO ESTRIADO DE 3/4"" DE 15/16""";ITURRIA S.A;BAHCO;1;1,61
ID-00000110;SH3/4;"TUBO ESTRIADO DE 3/4"" DE 3/4""";ITURRIA S.A;BAHCO;1;1,30
ID-00000111;SH1;"TUBO ESTRIADO DE 3/4"" DE 1""";ITURRIA S.A;BAHCO;2;2,68
ID-00000112;SH7/8;"TUBO ESTRIADO DE 3/4"" DE 7/8""";ITURRIA S.A;BAHCO;2;1,51
ID-00000113;SH13/16;"TUBO ESTRIADO DE 3/4"" DE 13/16""";ITURRIA S.A;BAHCO;2;2,60
ID-00000114;SH1 1/16;"TUBO ESTRIADO DE 3/4"" DE  1 1/16""";ITURRIA S.A;BAHCO;1;1,34
ID-00000115;SH1 1/8;"TUBO ESTRIADO DE 3/4"" DE 1 1/8""";ITURRIA S.A;BAHCO;2;2,68
ID-00000116;SH1 1/4;"TUBO ESTRIADO DE 3/4"" DE 1 1/4""";ITURRIA S.A;BAHCO;1;2,25
ID-00000117;SH1 5/16;"TUBO ESTRIADO DE 3/4"" DE 1 5/16""";ITURRIA S.A;BAHCO;0;2,25
ID-00000118;SH1 3/8;"TUBO ESTRIADO DE 3/4"" DE 1 3/8""";ITURRIA S.A;BAHCO;2;4,36
ID-00000119;SH1 7/16;"TUBO ESTRIADO DE 3/4"" DE 1 7/16""";ITURRIA S.A;BAHCO;1;1,76
ID-00000120;SH1 1/2;"TUBO ESTRIADO DE 3/4"" DE 1 1/2""";ITURRIA S.A;BAHCO;1;3,61
ID-00000121;SH1 9/16;"TUBO ESTRIADO DE 3/4"" DE 1 9/16""";ITURRIA S.A;BAHCO;0;3,61
ID-00000122;SH1 5/8;"TUBO ESTRIADO DE 3/4"" DE 1. 5/8""";ITURRIA S.A;BAHCO;1;9,94
ID-00000123;SH1 3/4;"TUBO ESTRIADO DE 3/4"" DE 1 3/4""";ITURRIA S.A;BAHCO;1;12,27
ID-00000124;SH1 13/16;"TUBO ESTRIADO DE 3/4"" DE 1 13/16""";ITURRIA S.A;BAHCO;1;2,47
ID-00000125;SH1 7/8;"TUBO ESTRIADO DE 3/4"" DE 1 7/8""";ITURRIA S.A;BAHCO;0;2,47
ID-00000126;SH2;"TUBO ESTRIADO DE 3/4"" DE 2""";ITURRIA S.A;BAHCO;1;2,70
ID-00000127;SH2 1/16;"TUBO ESTRIADO DE 3/4"" DE 2 1/16""";ITURRIA S.A;BAHCO;1;2,70
ID-00000128;SH2 1/8;"TUBO ESTRIADO DE 3/4"" DE 2 1/8""";ITURRIA S.A;BAHCO;0;2,70
ID-00000129;SH2 3/16;"TUBO ESTRIADO DE 3/4"" DE 2 3/16""";ITURRIA S.A;BAHCO;1;3,36
ID-00000130;SH2 1/4;"TUBO ESTRIADO DE 3/4"" DE 2 1/4""";ITURRIA S.A;BAHCO;1;66,49
ID-00000131;SH2 3/8;"TUBO ESTRIADO DE 3/4"" DE 2 3/8""";ITURRIA S.A;BAHCO;1;66,49
ID-00000132;797;"CABEZA DE CRIQUE 3/4""";ITURRIA S.A;BAHCO;1;9,67
ID-00000133;706;"MANGO ARTICULADO 3/4"" DE 470 MM";ITURRIA S.A;BAHCO;0;0,00
ID-00000134;756 I;EXTENCION 3/4 DE 250 MM;ITURRIA S.A;BAHCO;0;0,00
ID-00000135;787;"MANGO DE 474 MM PARA CRIQUE DE 3/4""";ITURRIA S.A;BAHCO;1;1,88
ID-00000136;766 I;"EXTENCION 3/4"" DE 380 MM";ITURRIA S.A;BAHCO;0;0,00
ID-00000137;786 I;"MANGO DE 3/4"" PARA CRIQUE DE 474 MM";ITURRIA S.A;BAHCO;1;2,42
ID-00000138;746;"EXTENCION 3/4"" DE 125 MM";ITURRIA S.A;BAHCO;0;0,00
ID-00000139;776;"CABEZAL ARTICULADO DE 3/4""";ITURRIA S.A;BAHCO;1;4,63
ID-00000140;788;"CABEZA T DESLIZANDTE 3/4""";ITURRIA S.A;BAHCO;0;0,00
ID-00000141;726;ENCASTRE REDUCCION DE 1/2 A 3/4;ITURRIA S.A;BAHCO;1;5,23
ID-00000142;727;ENCASTRE ADAPTACION DE 3/4 A 1/2;ITURRIA S.A;BAHCO;1;6,42
ID-00000143;00421.30;BARRETA INDUSTRIAL 32 x 150 MM;BERMON DISTRIBUIDORA S.R.L;EL ROBLE;1;36,79
ID-00000144;00421.35;BARRETA INDUSTRIAL 32 x 1800;BERMON DISTRIBUIDORA S.R.L;EL ROBLE;1;143,48
ID-00000145;815RN;"LLAVE CRIQUE BICOMPONENTE 1/2"" DE 272 MM";ITURRIA S.A;BAHCO;0;0,00
ID-00000146;8155A;"LLAVE CRIQUE ERGO 1/2"" DE 260 MM";ITURRIA S.A;BAHCO;2;14,77
ID-00000147;703AMP;"MANGO ARTICULADO 1/2"" DE 257 MM";ITURRIA S.A;BAHCO;3;12,64
ID-00000148;815;"LLAVE CRIQUE 1/2"" BI-COMPONETE";ITURRIA S.A;BAHCO;1;5,11
ID-00000149;704AMP;"MANGO ARTICULADO 1/2"" DE 378 MM";ITURRIA S.A;BAHCO;0;0,00
ID-00000150;733 I;"MANGO T DESLIZABLE 1/2"" DE 298 MM";ITURRIA S.A;BAHCO;1;2,72
ID-00000151;763 I;"EXTENSION 1/2"" DE 255 MM";ITURRIA S.A;BAHCO;1;1,49
ID-00000152;743;"MANIJA BERBIQUI 1/2"" DE 385 MM";ITURRIA S.A;BAHCO;1;2,68
ID-00000153;L1011;LLAVE ARTICULADA DOBLE 14MM-15MM;ITURRIA S.A;BAHCO;2;6,67
ID-00000154;L1011;LLAVE ARTICULADA DOBLE 10MM-11MM;ITURRIA S.A;BAHCO;1;7,86
ID-00000155;L1415;LLAVE ARTICULADA DOBLE 14MM-15MM;ITURRIA S.A;BAHCO;1;1,16
ID-00000156;L12916;LLAVE ARTICULADA DOBLE 1/2MM - 9/16;ITURRIA S.A;BAHCO;1;1,16
ID-00000157;L581116;LLAVE ARTICULADA DOBLE 5/8MM - 11-16MM;ITURRIA S.A;BAHCO;2;2,31
ID-00000158;725;"ENCASTRE REDUCCION DE 1/2"" A 3/8""";ITURRIA S.A;BAHCO;0;0,00
ID-00000159;773;"CABEZAL ARTICULADO 1/2""";ITURRIA S.A;BAHCO;2;3,32
ID-00000160;753;"EXTENSION 1/2"" DE 125 MM";PAPIERTTEI;BAHCO;1;0,46
ID-00000161;713;"EXTENSION 1/2"" DE 75 MM";ITURRIA S.A;BAHCO;3;1,32
ID-00000162;GX17;"TUBO DE IMPACTO 1/2"" DE 17 MM";ITURRIA S.A;BAHCO;0;0,00
ID-00000163;GX21;"TUBO DE IMPACTO 1/2"" DE 21 MM";ITURRIA S.A;BAHCO;1;1,69
ID-00000164;GX24;"TUBO DE IMPACTO 1/2"" DE 24 MM";ITURRIA S.A;BAHCO;2;1,92
ID-00000165;GX27;"TUBO DE IMPACTO 1/2"" DE 27 MM";ITURRIA S.A;BAHCO;2;7,28
ID-00000166;GX30;"TUBO DE IMPACTO 1/2"" DE 30 MM";ITURRIA S.A;BAHCO;1;1,26
ID-00000167;8810186;JARRA MEDIDORA STIHL 100 CC;STIHL MOTOIMPLEMENTOS S.A;STIHL;1;2,01
ID-00000168;42550194910;PULVERIZADOR MANUAL SG 11;STIHL MOTOIMPLEMENTOS S.A;STIHL;2;42,18
ID-00000169;;ACEITE STIHL 2T X 100 CC;STIHL MOTOIMPLEMENTOS S.A;STIHL;179;806,06
ID-00000170;;ACEITE STIHL X 1L P/LUBRICAR CADENA;STIHL MOTOIMPLEMENTOS S.A;STIHL;61;608,94
ID-00000171;358;AMOLADORA HE-DU BRAZOS LARGOS DE 1.5 HP;HERMES DUPRAZ E HIJA S.R.L;HE-DU;0;0,00
ID-00000172;491/92;AMOLADORA DE 2 HP CON BRAZOS LARGOS;HERMES DUPRAZ E HIJA S.R.L;HE-DU;2;26,84
ID-00000173;PS67;LLAVE ESTRIADA ACODADA 6-7 MM;ITURRIA S.A;BAHCO;2;0,79
ID-00000174;PS89;LLAVE ESTRIADA ACODADA 8-9 MM;ITURRIA S.A;BAHCO;0;0,00
ID-00000175;PS1011;LLAVE ESTRIADA ACODADA 10-11 MM;ITURRIA S.A;BAHCO;1;1,33
ID-00000176;PS1213;LLAVE ESTRIADA ACODADA 12-13 MM;ITURRIA S.A;BAHCO;1;1,33
ID-00000177;PS1415;LLAVE ESTRIADA ACODADA 14-15 MM;ITURRIA S.A;BAHCO;0;0,00
ID-00000178;PS1617;LLAVE ESTRIADA ACODADA 16-17 MM;ITURRIA S.A;BAHCO;1;0,63
ID-00000179;PS1819;LLAVE ESTRIADA ACODADA 18-19 MM;ITURRIA S.A;BAHCO;2;4,33
ID-00000180;PS2022;LLAVE ESTRIADA ACODADA 20-22 MM;ITURRIA S.A;BAHCO;2;1,38
ID-00000181;PS2123;LLAVE ESTRIADA ACODADA 21-23 MM;ITURRIA S.A;BAHCO;2;1,69
ID-00000182;PS38716;"LLAVE ESTRIADA ACODADA 3/8-7/16""";ITURRIA S.A;BAHCO;2;0,86
ID-00000183;PS12916;LLAVE ESTRIADA ACODADA 1/2-9/16;ITURRIA S.A;BAHCO;2;12,39
ID-00000184;PS581116;"LLAVE ESTRIADA ACODADA 5/8-11/16""";ITURRIA S.A;BAHCO;1;6,20
ID-00000185;PS3478;"LLAVE ESTRIADA ACODADA 3/4-7/8""";ITURRIA S.A;BAHCO;2;1,38
ID-00000186;8074AIP;"LLAVE FRANCESA DE 15"" FOSFATADA";ITURRIA S.A;BAHCO;0;0,00
ID-00000187;8075AIP;"LLAVE FRANCESA DE 18"" FOSFATADA";ITURRIA S.A;BAHCO;3;204,48
ID-00000188;8073;"LLAVE FRANCESA  DE 12"" FOSFATADA";ITURRIA S.A;BAHCO;2;159,87
ID-00000189;8072AIP;"LLAVE FRANCESA DE 10"" FOSFATADA";ITURRIA S.A;BAHCO;2;33,46
ID-00000190;8070AIP;"LLAVE FRANCESA DE 6"" FOSFATADA";ITURRIA S.A;BAHCO;0;0,00
ID-00000191;8069AIP;"LLAVE FRANCESA DE 4"" FOSFATADA";ITURRIA S.A;BAHCO;2;5,94
ID-00000192;141A;LLAVE PARA CAÑO 141;ITURRIA S.A;BAHCO;3;159,90
ID-00000193;143A;LLAVE PARA CAÑO 143;ITURRIA S.A;BAHCO;0;0,00
ID-00000194;142A;LLAVE PARA CAÑO 142;ITURRIA S.A;BAHCO;0;0,00
ID-00000195;144A;LLAVE PARA CAÑO 144;ITURRIA S.A;BAHCO;0;0,00
ID-00000196;UD67;LLAVE FIJA DOBLE BOCA 6-7 MM;ITURRIA S.A;BAHCO;2;0,49
ID-00000197;UD89;LLAVE FIJA DOBLE BOCA 8-9 MM;ITURRIA S.A;BAHCO;4;1,68
ID-00000198;UD1011;LLAVE FIJA DOBLE BOCA 10-11 MM;ITURRIA S.A;BAHCO;0;1,68
ID-00000199;UD1213;LLAVE FIJA DOBLE BOCA 12-13 MM;ITURRIA S.A;BAHCO;1;0,56
ID-00000200;UD1415;LLAVE FIJA DOBLE BOCA 14-15 MM;ITURRIA S.A;BAHCO;0;0,00
ID-00000201;UD1617;LLAVE FIJA DOBLE BOCA 16-17 MM;ITURRIA S.A;BAHCO;1;0,96
ID-00000202;UD1819;LLAVE FIJA DOBLE BOCA 18-19 MM;ITURRIA S.A;BAHCO;1;2,45
ID-00000203;UD2022;LLAVE FIJA DOBLE BOCA 20-22 MM;ITURRIA S.A;BAHCO;2;1,06
ID-00000204;UD2425;LLAVE FIJA DOBLE BOCA 24-25 MM;ITURRIA S.A;BAHCO;2;1,46
ID-00000205;UD3032;LLAVE FIJA DOBLE BOCA 30-32 MM;ITURRIA S.A;BAHCO;1;2,79
ID-00000206;UD14516;"LLAVE FIJA DOBLE BOCA 1/4-5/16""";ITURRIA S.A;BAHCO;2;0,49
ID-00000207;UD38716;"LLAVE FIJA DOBLE BOCA 3/8-7/16""";ITURRIA S.A;BAHCO;2;1,52
ID-00000208;UD12916;"LLAVE FIJA DOBLE BOCA 1/2-9/16""";ITURRIA S.A;BAHCO;1;0,65
ID-00000209;UD581116;"LLAVE FIJA DOBLE BOCA 5/8-11/16""";ITURRIA S.A;BAHCO;1;1,88
ID-00000210;UD3478;"LLAVE FIJA DOBLE BOCA 3/4-7/8""";ITURRIA S.A;BAHCO;2;1,06
ID-00000211;UD15161;"LLAVE FIJA DOBLE BOCA 15/16-1""";ITURRIA S.A;BAHCO;2;1,46
ID-00000212;PU6;LLAVE FIJA ANILLO-BOCA 6 MM;ITURRIA S.A;BAHCO;1;0,95
ID-00000213;PU7;LLAVE FIJA ANILLO-BOCA 7 MM;ITURRIA S.A;BAHCO;4;3,81
ID-00000214;PU8;LLAVE FIJA ANILLO-BOCA 8 MM;ITURRIA S.A;BAHCO;1;2,39
ID-00000215;PU9;LLAVE FIJA ANILLO-BOCA 9 MM;ITURRIA S.A;BAHCO;2;1,91
ID-00000216;PU10;LLAVE FIJA ANILLO-BOCA 10 MM;ITURRIA S.A;BAHCO;0;0,00
ID-00000217;PU11;LLAVE FIJA ANILLO-BOCA 11 MM;ITURRIA S.A;BAHCO;3;2,86
ID-00000218;PU12;LLAVE FIJA ANILLO-BOCA 12 MM;ITURRIA S.A;BAHCO;2;5,70
ID-00000219;PU13;LLAVE FIJA ANILLO-BOCA 13 MM;ITURRIA S.A;BAHCO;2;2,97
ID-00000220;PU14;LLAVE FIJA ANILLO-BOCA 14 MM;ITURRIA S.A;BAHCO;1;8,54
ID-00000221;PU15;LLAVE FIJA ANILLO-BOCA 15 MM;ITURRIA S.A;BAHCO;0;0,00
ID-00000222;PU16;LLAVE FIJA ANILLO-BOCA 16 MM;ITURRIA S.A;BAHCO;2;2,71
ID-00000223;PU17;LLAVE FIJA ANILLO-BOCA 17 MM;ITURRIA S.A;BAHCO;1;1,56
ID-00000224;PU18;LLAVE FIJA ANILLO-BOCA 18 MM;ITURRIA S.A;BAHCO;0;0,00
ID-00000225;PU19;LLAVE FIJA ANILLO-BOCA 19 MM;ITURRIA S.A;BAHCO;0;0,00
ID-00000226;PU20;LLAVE FIJA ANILLO-BOCA 20 MM;ITURRIA S.A;BAHCO;1;5,31
ID-00000227;PU21;LLAVE FIJA ANILLO-BOCA 21 MM;ITURRIA S.A;BAHCO;1;5,56
ID-00000228;PU22;LLAVE FIJA ANILLO-BOCA 22 MM;ITURRIA S.A;BAHCO;1;6,57
